Tour ID,Tour Title,Category,City,Area/State,Country,AVG Rating,Reviews,Activity URL,Save up to,From,To,Price from,Location
151778,NYC: City Skyline Sightseeing Bus Tour at Night,Bus Tours,New York City,New York (State),United States,4.8,203,https://www.getyourguide.com/activity/-t151778?partner_id=ABMB4KH,10%,2024-08-07,2024-09-05,€49.40,Manhattan
140589,From Manhattan: Full-Day NYC Boroughs and Coney Island Tour,Day Trips,New York City,New York (State),United States,4.4,803,https://www.getyourguide.com/activity/-t140589?partner_id=ABMB4KH,30%,2024-08-07,2024-08-08,€28.18,"The Bronx, Harlem, Queens, Brooklyn"
72730,NYC: The Story of Alexander Hamilton Walking Tour,Walking Tours,New York City,New York (State),United States,5.0,58,https://www.getyourguide.com/activity/-t72730?partner_id=ABMB4KH,20%,2024-08-06,2024-08-31,€29.27,"Manhattan, Financial District"
771764,New York: Professional Photoshoot in NYC Central Park DUMBO,Walking Tours,New York City,New York (State),United States,,,https://www.getyourguide.com/activity/-t771764?partner_id=ABMB4KH,20%,2024-08-06,2024-09-05,€120.00,"Manhattan, Brooklyn "
590119,"Shopping Tour of Fashion-Rich Soho, New York",Walking Tours,New York City,New York (State),United States,4.8,5,https://www.getyourguide.com/activity/-t590119?partner_id=ABMB4KH,30%,2024-08-06,2024-08-31,€32.02,"Manhattan, Soho"
694180,NYC: Downtown and Statue of Liberty Sightseeing Cruise,Boat Tours,New York City,New York (State),United States,4.7,203,https://www.getyourguide.com/activity/-t694180?partner_id=ABMB4KH,33%,2024-08-04,2024-09-02,€27.43,"Manhattan, Hudson Yards, Midtown, Lower Manhattan, Battery Park, South Street Seaport, Brooklyn Bridge, Dumbo"
681575,NYC: Premium Brunch and Lunch Cruise with Botomless Drinks,Boat Tours,New York City,New York (State),United States,,,https://www.getyourguide.com/activity/-t681575?partner_id=ABMB4KH,35%,2024-08-04,2024-08-31,€49.95,"Manhattan, Lower East Side, Brooklyn Bridge, Financial District"
647076,New York Manhattan:JFK EWR LGA Private Hotel Transfer,Transfers,New York City,New York (State),United States,4.7,53,https://www.getyourguide.com/activity/-t647076?partner_id=ABMB4KH,5%,2024-08-03,2024-08-31,€77.34,Airport 
281607,"NYC: New York, City of Contrasts Guided Bus Tour",Bus Tours,New York City,New York (State),United States,4.5,712,https://www.getyourguide.com/activity/-t281607?partner_id=ABMB4KH,5%,2024-08-03,2024-09-02,€33.90,"The Bronx, Harlem, Queens, Brooklyn, Williamsburg"
281597,From NYC: Guided Day Trip to Washington DC by Van or Bus,Day Trips,New York City,New York (State),United States,4.7,956,https://www.getyourguide.com/activity/-t281597?partner_id=ABMB4KH,5%,2024-08-03,2024-09-02,€103.42,"Outside NYC, Washington "
770200,Brooklyn: Williamsburg - Hip & Orthodox,Walking Tours,New York City,New York (State),United States,,,https://www.getyourguide.com/activity/-t770200?partner_id=ABMB4KH,20%,2024-08-01,2024-08-31,€35.86,"Brooklyn, Williamsburg"
705755,Half-Day Best of New York Bus Tour,Bus Tours,New York City,New York (State),United States,5.0,3,https://www.getyourguide.com/activity/-t705755?partner_id=ABMB4KH,20%,2024-08-01,2024-08-30,€44.82,"Manhattan, Hudson Yards, Midtown, Flatiron, Washington Square, Soho, Little Italy, Chinatown, Brooklyn Bridge, Grand Central Terminal"
